poduct name,product id,price,brand,category,date,user id,gender,age,store id,frequency
 גוטקס Gottex חולצת קרופ WAFFLE, mp-00047828,219, גוטקס Gottex, אופנה/אופנת נשים/חולצות וטופים/חולצות שרוול ארוך,17/06/2021,0,female,35,1,10
 Head CLUB CARL T-Shirt M חולצת טי שארט, mp-00036216,109.9, Head, אופנה/אופנת גברים/ביגוד ספורט לגברים/חולצות ספורט לגברים,19/12/2021,1,male,25,1,4
 NIKE נעלי  אופנתיות לגברים דגם SIGNAL D-MS-X, mp-00016509,499, NIKE, אופנה/אופנת גברים/נעלי גברים/נעלי ספורט וסניקרס גברים,19/12/2021,1,male,25,1,8
 Aztron מכנס גלישה \גליטיץ\, mp-00054587,191, Aztron, אופנה/אופנת גברים/בגדי ים לגבר/מכנסי גלישה,19/12/2021,1,male,25,1,8
 Head FONT T-Shirt M, mp-00035104,119.9, Head, אופנה/אופנת גברים/ביגוד ספורט לגברים/חולצות ספורט לגברים,15/07/2020,1,male,25,1,3
 New Balance נעלי סניקרס  לגבר דגם 997, mp-00028072,399, New Balance, אופנה/אופנת גברים/נעלי גברים/נעלי ספורט וסניקרס גברים,15/07/2020,1,male,25,1,8
 Merrell נעלי טיולים והליכה לגבר, mp-00052451,512, Merrell, אופנה/אופנת גברים/נעלי גברים/נעלי טיולים,15/07/2020,1,male,25,1,9
 Aztron כפפות הגנה \ניאו\ לספורט ימי, mp-00054613,104, Aztron, אופנה/אופנת גברים/אקססוריז לגברים/כפפות,15/07/2020,1,male,25,1,2
 DIESEL חולצת טישרט  לגבר, mp-00053091,149, DIESEL, אופנה/אופנת גברים/חולצות לגבר/טי שירט,28/03/2020,1,male,25,1,4
 Blundstone מגפי גברים דגם 063, mp-00040176,499, Blundstone, אופנה/אופנת גברים/נעלי גברים/מגפי גברים,28/03/2020,1,male,25,1,2
 Merrell נעלי טיולים והליכה לגבר, mp-00052451,512, Merrell, אופנה/אופנת גברים/נעלי גברים/נעלי טיולים,28/03/2020,1,male,25,1,6
 לוני טונס מכנס בוקסר באגס באני פרצופים, mp-00030415,49, לוני טונס, אופנה/אופנת גברים/הלבשה תחתונה לגברים/תחתוני גברים,28/03/2020,1,male,25,1,7
 גילט מארז סקינגארד מכשיר גילוח + סכינים לעור רגיש,589070,139.9, גילט, טיפוח/גילוח והסרת שיער/גברים/להבים לסכין גילוח גברים,28/03/2020,1,male,25,1,3
 NIKE כפכפים  לגבר  Asuna, mp-00016699,199, NIKE, אופנה/אופנת גברים/נעלי גברים/סנדלים וכפכפים,28/03/2020,1,male,25,1,6
 Anonima ליצן צבעוני - ABEC5 סקייטבורד ספורט ראנר, mp-00035759,199, Anonima, ספורט וחוץ/גלגיליות ורולרבליידס/סקייטבורד,28/03/2020,1,male,25,1,2
 47 brand כובע – BACK SWITCH 47 MVP, mp-00025660,143.92, 47 brand, אופנה/אופנת גברים/אקססוריז לגברים/כובעים,02/04/2020,1,male,25,1,2
 Head CLUB Bermudas M מכנסים, mp-00034929,159.9, Head, אופנה/אופנת גברים/ביגוד ספורט לגברים/מכנסי ספורט קצרים לגברים,02/04/2020,1,male,25,1,4
 Twoleftfeet COMICON, mp-00013303,35, Twoleftfeet, אופנה/אופנת גברים/הלבשה תחתונה לגברים/גרביים לגברים,02/04/2020,1,male,25,1,10
 Head STRIKER T-Shirt M חולצות טי שרט מנדפות, mp-00035713,169.9, Head, אופנה/אופנת גברים/ביגוד ספורט לגברים/חולצות ספורט לגברים,02/04/2020,1,male,25,1,8
 LEVIS חולצת טישרט   לגבר דגם  Logo T-shirt, mp-00053462,119, LEVIS, אופנה/אופנת גברים/חולצות לגבר/טי שירט,02/04/2020,1,male,25,1,8
 Inov-8 Race Elite 6 Short שורט ריצה קצר, mp-00032210,256, Inov-8, אופנה/אופנת גברים/מכנסיים/מכנסיים קצרים,01/09/2021,1,male,25,1,4
 NIKE נעלי ריצה  לגבר Revolution, mp-00048931,229, NIKE, אופנה/אופנת גברים/נעלי גברים/נעלי ריצה לגברים,01/09/2021,1,male,25,1,3
 adidas סניקרס  סופרסטאר AF5666, mp-00036855,299, adidas, אופנה/אופנת גברים/נעלי גברים/נעלי ספורט וסניקרס גברים,01/09/2021,1,male,25,1,9
 Arcade חגורה RANGER, mp-00048630,119.9, Arcade, אופנה/אופנת גברים/אקססוריז לגברים/חגורות,01/09/2021,1,male,25,1,7
 New Balance נעלי ריצה  לגברים, mp-00037444,424, New Balance, אופנה/אופנת גברים/נעלי גברים/נעלי ריצה לגברים,01/09/2021,1,male,25,1,2
 FILA נעלי ספורט כפפה עם סוליית קצף זיכרון בצבע שחור, mp-00048797,179, FILA, אופנה/אופנת גברים/נעלי גברים/נעלי ספורט וסניקרס גברים,01/09/2021,1,male,25,1,10
 CARELINE INSTANT LIP PLUMPER גלוס מנפח שפתיים,622399,39.9, CARELINE, קוסמטיקה/איפור שפתיים/ליפ גלוס,30/01/2022,2,female,24,1,6
 גוטקס Gottex מכנסיים ארוכים WAFFLE, mp-00047448,239, גוטקס Gottex, אופנה/אופנת נשים/מכנסיים/מכנסיים ארוכים,30/01/2022,2,female,24,1,1
 CLINIQUE EVEN BETTER  מייק אפ,350406,127.2, CLINIQUE, קוסמטיקה/איפור פנים/מייק אפ,30/01/2022,2,female,24,1,9
 GA-DE IDYLLIC SOFT SATIN סומק ללא מראה,458895,60, GA-DE, קוסמטיקה/איפור פנים/סמקים וברונזרים,30/01/2022,2,female,24,1,6
 CLARINS שמן טוניק לגוף,7439,279, CLARINS, קוסמטיקה/טיפוח מותגי קוסמטיקה/טיפוח גוף,30/01/2022,2,female,24,1,1
 Bunny Tummy מדבקות חזה – בוב טייפ צבע חום כהה, mp-00045358,52, Bunny Tummy, אופנה/אופנת נשים/הלבשה תחתונה/חזיות,12/07/2021,2,female,24,1,7
 Lady Comfort כפכפי נוחות טבעוניות עם עיטור אבנים איכותיות לנשים בצבע ירוק זית, mp-00048449,189, Lady Comfort, אופנה/אופנת נשים/נעלי נשים/סנדלים וכפכפים,12/07/2021,2,female,24,1,2
 MAC קיט גבות   ,613178,153, MAC, קוסמטיקה/איפור גבות/פלטות איפור גבות,12/07/2021,2,female,24,1,6
 Z SPORT Z LASER SKINNY 2021, mp-00034659,179, Z SPORT, אופנה/אופנת נשים/ביגוד ספורט לנשים/מכנסים וטייצים לספורט,15/11/2021,2,female,24,1,9
 Head SAMMY T-Shirt W, mp-00035240,169.9, Head, אופנה/אופנת נשים/ביגוד ספורט לנשים/חולצות ספורט לנשים,15/11/2021,2,female,24,1,5
 LANVIN ECLAT DARPEGE סט א.ד.פ + א.ד.פ לאשה,628456,199.2, LANVIN, קוסמטיקה/בשמים/מארזי בישום נשים,15/11/2021,2,female,24,1,8
 Head ROBIN Skort W מכנס עם טייץ, mp-00035255,169.9, Head, אופנה/אופנת נשים/ביגוד ספורט לנשים/מכנסים וטייצים לספורט,15/11/2021,2,female,24,1,8
 ANASTASIA BEVERLY HILLS פלטת צלליות לעיניים - MODERN RENAISSANCE,619324,210, ANASTASIA BEVERLY HILLS, קוסמטיקה/איפור עיניים/צללית עיניים,15/11/2021,2,female,24,1,9
 YKI כדור פיזיו ורוד 65 ס\מ + משאבת רגל, mp-00008351,80, YKI, ספורט וחוץ/ציוד ספורט וכושר/כדורי תרגול,15/11/2021,2,female,24,1,10
 Havaianas SAND GREY לבנות צבע SLIM כפכפי, mp-00054109,39, Havaianas, אופנה/אופנת נשים/נעלי נשים/סנדלים וכפכפים,17/02/2022,2,female,24,1,8
 LOREAL PARIS LE KHOL סופר ליינר עפרון שחור,620145,22.1, LOREAL PARIS, קוסמטיקה/איפור עיניים/עפרון עיניים,17/02/2022,2,female,24,1,9
 מרק קווינס סט איפור לפנים ולגוף 8 גוונים+קעקועים,559973,26.9, מרק קווינס, קוסמטיקה/ערכות איפור/ערכות איפור,17/02/2022,2,female,24,1,4
 GREEN מחמם צוואר זית, mp-00047200,11.9, GREEN, אופנה/אופנת נשים/אקססוריז לנשים/כובעים,07/02/2021,2,female,24,1,8
 Bunny Tummy תחתון אמצע מותן מחטב -שחור, mp-00045899,220, Bunny Tummy, אופנה/אופנת נשים/הלבשה תחתונה/מחטבים,07/02/2021,2,female,24,1,6
 גוטקס Gottex JEN טייץ באורך קרסול, mp-00027866,199, גוטקס Gottex, אופנה/אופנת נשים/ביגוד ספורט לנשים/בגדים וציוד יוגה לנשים,07/02/2021,2,female,24,1,4
 smashbox HALO PLUMPING DEW פריימר לחות המעניקה זוהר ונפח ל24שעות המכילה חומצה היאלורונית,638376,140, smashbox, קוסמטיקה/איפור פנים/פריימר לפנים,07/02/2021,2,female,24,1,4
 Alo Yoga סווטשרט  לגבר דגם TRAVERSE PULLOVER, mp-00041589,449, Alo Yoga, אופנה/אופנת גברים/סווטשירטים והודיס,06/03/2020,3,male,27,1,8
 CHAMPION סווצרט פוטר צבע ירוק, mp-00037149,179, CHAMPION, אופנה/אופנת גברים/סווטשירטים והודיס,06/03/2020,3,male,27,1,1
 adidas סניקרס  אוריגינל לגבר, mp-00036864,299, adidas, אופנה/אופנת גברים/נעלי גברים/נעלי ספורט וסניקרס גברים,06/03/2020,3,male,27,1,5
 NAUTICA מארז שלושה חולצות ביסייק  צווארון עגול לגבר, mp-00036735,149, NAUTICA, אופנה/אופנת גברים/חולצות לגבר/חולצות,18/03/2022,3,male,27,1,7
 PUMA סניקרס לגבר, mp-00053790,299, PUMA, אופנה/אופנת גברים/נעלי גברים/נעלי ספורט וסניקרס גברים,18/03/2022,3,male,27,1,8
 SKECHERS נעלי נוחות לגבר  GOwalk Arch Fit - Iconic, mp-00049244,359, SKECHERS, אופנה/אופנת גברים/נעלי גברים/נעלי בריאות,18/03/2022,3,male,27,1,2
 Alo Yoga קפוצון רוח  לגבר דגם  AIRWAVE WINDBREAKER, mp-00041591,599, Alo Yoga, אופנה/אופנת גברים/סווטשירטים והודיס,18/03/2022,3,male,27,1,6
 Alo Yoga סווטשרט  לגבר דגם TRAVERSE PULLOVER, mp-00041604,449, Alo Yoga, אופנה/אופנת גברים/סווטשירטים והודיס,03/09/2021,3,male,27,1,6
 TOMMY HILFIGER חולצת טומי הילפנגר לגבר בגזרה מחוטבת ( Slim fit ), mp-00029733,229, TOMMY HILFIGER, אופנה/אופנת גברים/חולצות לגבר/חולצות,03/09/2021,3,male,27,1,6
 Dr Phyto אונו מן, mp-00052798,179, Dr Phyto, בריאות/תוספי תזונה/בריאות הגבר/פורמולות לגברים,03/09/2021,3,male,27,1,3
 NAUTICA חולצת טישרט לגבר בהדפס לוגו  פס מבריק, mp-00046691,100, NAUTICA, אופנה/אופנת גברים/חולצות לגבר/טי שירט,03/09/2021,3,male,27,1,5
 הארי פוטר מחזיק מפתחות הוגוורטס ממתכת כסף, mp-00030992,29, הארי פוטר, אופנה/אופנת גברים/אקססוריז לגברים/מחזיקי מפתחות,03/09/2021,3,male,27,1,4
 KAJAL HOMME א.ד.פ לגבר,619549,699, KAJAL, קוסמטיקה/בשמים/בשמים לגברים,03/09/2021,3,male,27,1,10
 LACOSTE חולצת טישרט  לגבר צווארון עגול, mp-00053248,149, LACOSTE, אופנה/אופנת גברים/חולצות לגבר/טי שירט,09/06/2020,3,male,27,1,1
 לייף קרסוליות ספורטיביות גברים 43-46 לבן,638664,26, לייף, אופנה/אופנת גברים/הלבשה תחתונה לגברים/גרביים לגברים,09/06/2020,3,male,27,1,4
 Head DAVIES Polo Shirt M חולצת פולו, mp-00035719,209.9, Head, אופנה/אופנת גברים/ביגוד ספורט לגברים/חולצות ספורט לגברים,09/06/2020,3,male,27,1,7
 NAUTICA מכופתרת נאוטיקה לגברים W81I024NV, mp-00053774,349, NAUTICA, אופנה/אופנת גברים/חולצות לגבר/חולצות,09/06/2020,3,male,27,1,5
 Go Nature מעיל גשם SEASHELL קומפקטי ומתקפל צבע נייבי, mp-00031650,219, Go Nature, אופנה/אופנת גברים/חליפות וז׳קטים/מעילי גברים,25/09/2021,3,male,27,1,10
 הארי פוטר מכנס בוקסר הפלפאף, mp-00031165,49, הארי פוטר, אופנה/אופנת גברים/הלבשה תחתונה לגברים/תחתוני גברים,25/09/2021,3,male,27,1,5
 TOMMY HILFIGER מעיל לגבר 158AN080 כחול, mp-00053935,349, TOMMY HILFIGER, אופנה/אופנת גברים/חליפות וז׳קטים/מעילי גברים,25/09/2021,3,male,27,1,9
 Alo Yoga קפוצון   לגבר דגם RIDGE CREW, mp-00041610,399, Alo Yoga, אופנה/אופנת גברים/סווטשירטים והודיס,25/09/2021,3,male,27,1,5
 LEVIS גינס ליוויס לגבר דגם 501  גזרה ישרה, mp-00030764,449, LEVIS, אופנה/אופנת גברים/מכנסיים/ג׳ינס,16/11/2020,4,male,45,1,7
 HUGO BOSS מארז שלושה תחתונים לגבר, mp-00037294,139, HUGO BOSS, אופנה/אופנת גברים/הלבשה תחתונה לגברים/תחתוני בוקסר,16/11/2020,4,male,45,1,2
 LEVIS גינס ליוויס לגבר דגם 501  גזרה ישרה, mp-00030735,449, LEVIS, אופנה/אופנת גברים/מכנסיים/ג׳ינס,16/11/2020,4,male,45,1,8
 Hoka Arahi 6 2E נעלי ריצה לגברים, mp-00054192,599, Hoka, אופנה/אופנת גברים/נעלי גברים/נעלי ריצה לגברים,16/11/2020,4,male,45,1,10
 Blundstone מגפי גברים דגם 587, mp-00040084,499, Blundstone, אופנה/אופנת גברים/נעלי גברים/מגפי גברים,16/11/2020,4,male,45,1,4
 New Balance נעלי ריצה  לגברים, mp-00037444,424, New Balance, אופנה/אופנת גברים/נעלי גברים/נעלי ריצה לגברים,16/11/2020,4,male,45,1,8
 Havaianas כפכף מריו אדום גברים, mp-00012494,79.9, Havaianas, אופנה/אופנת גברים/נעלי גברים/סנדלים וכפכפים,21/04/2022,4,male,45,1,9
 NAUTICA חולצת פולו לגבר גזרה CLASSIC FIT, mp-00048551,179, NAUTICA, אופנה/אופנת גברים/חולצות לגבר/חולצות פולו לגבר,21/04/2022,4,male,45,1,2
 הארי פוטר מחזיק מפתחות סליתרין 2, mp-00030988,20, הארי פוטר, אופנה/אופנת גברים/אקססוריז לגברים/מחזיקי מפתחות,21/04/2022,4,male,45,1,2
 LACOSTE חולצת טישרט  לגבר צווארון עגול, mp-00053239,125, LACOSTE, אופנה/אופנת גברים/חולצות לגבר/טי שירט,21/04/2022,4,male,45,1,4
 NIKE קפוצון נייקי לגבר טאק פליז, mp-00029940,429, NIKE, אופנה/אופנת גברים/סווטשירטים והודיס,21/04/2022,4,male,45,1,7
 LACOSTE מארז שלושה תחתונים לגבר לקוסט לגבר, mp-00016122,149, LACOSTE, אופנה/אופנת גברים/הלבשה תחתונה לגברים/תחתוני בוקסר,08/03/2022,4,male,45,1,5
 NAUTICA קפוצון לגבר, mp-00046947,129, NAUTICA, אופנה/אופנת גברים/ביגוד ספורט לגברים/טרנינג - ז׳קט וחלק עליון,08/03/2022,4,male,45,1,8
 Rick and Morty מחזיק מפתחות פיקל ריק מהלך, mp-00030638,19, Rick and Morty, אופנה/אופנת גברים/אקססוריז לגברים/מחזיקי מפתחות,08/03/2022,4,male,45,1,8
 Blundstone מגפי גברים דגם 561, mp-00040186,499, Blundstone, אופנה/אופנת גברים/נעלי גברים/מגפי גברים,08/03/2022,4,male,45,1,3
 47 brand כובע – 47 CLEAN UP, mp-00055271,120, 47 brand, אופנה/אופנת גברים/אקססוריז לגברים/כובעי מצחיה,08/03/2022,4,male,45,1,9
 נוטריקר תמצית גינסינג קוריאני, mp-00023368,139, נוטריקר, בריאות/תוספי תזונה/דיאטה,08/03/2022,4,male,45,1,6
 HOUSE OF SILLAGE AERONAUTS פרפיום לגבר,618383,941, HOUSE OF SILLAGE, קוסמטיקה/בשמים/בשמים לגברים,08/03/2022,4,male,45,1,1
 Hoka נעלי טיולים Anacapa Low GTX, mp-00048538,719, Hoka, אופנה/אופנת גברים/נעלי גברים/נעלי טיולים,03/07/2021,4,male,45,1,7
 Head PERF T-Shirt M חולצות טי שרט, mp-00035312,229.9, Head, אופנה/אופנת גברים/ביגוד ספורט לגברים/חולצות ספורט לגברים,03/07/2021,4,male,45,1,10
 הארי פוטר מכנס בוקסר הפלפאף, mp-00031165,49, הארי פוטר, אופנה/אופנת גברים/הלבשה תחתונה לגברים/תחתוני גברים,03/07/2021,4,male,45,1,10
 CHAMPION סווטשירט קפוצון צבע אפור פחם, mp-00037318,179, CHAMPION, אופנה/אופנת גברים/סווטשירטים והודיס,07/10/2020,4,male,45,1,6
 47 brand כובע - METALLIC SNAP 47 MVP, mp-00025706,159.92, 47 brand, אופנה/אופנת גברים/אקססוריז לגברים/כובעים,07/10/2020,4,male,45,1,1
 47 brand כובע – BACK SWITCH 47 MVP, mp-00025660,143.92, 47 brand, אופנה/אופנת גברים/אקססוריז לגברים/כובעים,07/10/2020,4,male,45,1,8
 Inov-8 BARE-XF 210 V3 נעלי אימון, mp-00041214,399, Inov-8, אופנה/אופנת גברים/נעלי גברים/נעלי בריאות,07/10/2020,4,male,45,1,3
 לייף גרבי גרבי אורך גברים גברים 43-46 שחור,638666,26, לייף, אופנה/אופנת גברים/הלבשה תחתונה לגברים/גרביים לגברים,07/10/2020,4,male,45,1,10
 NOLA LOLA פצצת אמבט בניחוח פאפיה ומלון,610536,12.9, NOLA LOLA, טיפוח/אמבט וניקוי גוף/פצצות אמבטיה,14/10/2021,5,female,72,1,3
 NEUTROGENA  BOOST BRIGHT סרום מאיר למראה עור זוהר,623725,99.9, NEUTROGENA , קוסמטיקה/טיפוח מותגי קוסמטיקה/סרום וטיפול בעור,14/10/2021,5,female,72,1,5
 CLINIQUE SUPER ENERGIZER גל עיניים ממריץ לגבר,618192,103.2, CLINIQUE, קוסמטיקה/טיפוח מותגי קוסמטיקה/מוצרי טיפוח לגבר,14/10/2021,5,female,72,1,4
 GARNIER GARNIER BIO CORNFLOWER מים מיסלריים,607432,35.9, GARNIER, קוסמטיקה/טיפוח מותגי קוסמטיקה/ניקוי פנים,14/10/2021,5,female,72,1,10
 פלמוליב גל רחצה ארומה סנסיישן גלואו משאבה,609249,21.9, פלמוליב, טיפוח/אמבט וניקוי גוף/סבונים ותחליבי רחצה,14/10/2021,5,female,72,1,7
 לייף ספוג אלמוגי פחם,601649,14.9, לייף, טיפוח/אמבט וניקוי גוף/ספוגי רחצה וליפות,02/01/2020,5,female,72,1,8
 LANCOME RENERGIE MULTI LIFT קרם עיניים,419025,261.7, LANCOME, קוסמטיקה/טיפוח מותגי קוסמטיקה/קרמים/קרם עיניים,02/01/2020,5,female,72,1,2
 לייף פדים קוסמטיים להסרת איפור,569760,9.9, לייף, טיפוח/אמבט וניקוי גוף/כדורי צמר גפן,02/01/2020,5,female,72,1,8
 כיף אל סבון קטיפתי אצות ים מועשר בלחות,368053,12.9, כיף, טיפוח/אמבט וניקוי גוף/סבון ידיים נוזלי,19/02/2022,5,female,72,1,5
 KIEHLS סט קרם עיניים טיפולי + מי פנים + סרום לילה + קרם פנים + קרם לחות,639017,199, KIEHLS, קוסמטיקה/טיפוח מותגי קוסמטיקה/קרמים/קרם עיניים,19/02/2022,5,female,72,1,5
 ESTEE LAUDER ADVANCED NIGHT REPAIR סרום מתקדם,611784,400, ESTEE LAUDER, קוסמטיקה/טיפוח מותגי קוסמטיקה/סרום וטיפול בעור,19/02/2022,5,female,72,1,6
 חכמים ביום כישורי עברית למסיימי כיתה ד, mp-00000749,35, חכמים ביום, יצירה ותחביבים/ספרים וחוברות/חוברות לימוד לילדים,19/02/2022,5,female,72,1,9
 CLINIQUE ALL ABOUT EYE RICH קרם עיניים עשיר,308667,159.2, CLINIQUE, קוסמטיקה/טיפוח מותגי קוסמטיקה/קרמים/קרם עיניים,29/05/2021,5,female,72,1,10
 הוואי תחליב רחצה יוגורט קוקוס,579157,8.9, הוואי, טיפוח/אמבט וניקוי גוף/סבונים ותחליבי רחצה,29/05/2021,5,female,72,1,9
 פלמוליב סבון מוצק שמני לומינוס שקדים וקמיליה,600500,19.9, פלמוליב, טיפוח/אמבט וניקוי גוף/סבון מוצק,29/05/2021,5,female,72,1,5
 Nesti Dante סבון מוצק טבעיLavender – לבנדר ומי ורדים, mp-00027688,17.9, Nesti Dante, טיפוח/אמבט וניקוי גוף/סבון מוצק,29/05/2021,5,female,72,1,5
 ESTEE LAUDER IDEALIST סרום,316166,384, ESTEE LAUDER, קוסמטיקה/טיפוח מותגי קוסמטיקה/סרום וטיפול בעור,29/05/2021,5,female,72,1,6
 לייף ספוג רחצה רמי,542031,12.9, לייף, טיפוח/אמבט וניקוי גוף/ספוגי רחצה וליפות,05/03/2020,5,female,72,1,5
 ESTEE LAUDER ADVANCED NIGHT REPAIR סרום מתקדם,626712,120, ESTEE LAUDER, קוסמטיקה/טיפוח מותגי קוסמטיקה/סרום וטיפול בעור,05/03/2020,5,female,72,1,1
 KIEHLS דאורדורנט קרם לגבר,612126,89, KIEHLS, קוסמטיקה/טיפוח מותגי קוסמטיקה/מוצרי טיפוח לגבר,05/03/2020,5,female,72,1,1
 ESTEE LAUDER ADVANCED NIGHT REPAIR סרום מתקדם,611784,400, ESTEE LAUDER, קוסמטיקה/טיפוח מותגי קוסמטיקה/סרום וטיפול בעור,05/03/2020,5,female,72,1,9
 SHISEIDO VITAL PERFECTION סרום פנים וצוואר למיצוק ומתיחה,623444,527.2, SHISEIDO, קוסמטיקה/טיפוח מותגי קוסמטיקה/סרום וטיפול בעור,05/03/2020,5,female,72,1,6
 גרמניה NIPPES SOLINGEN פצירות רכות 18 ס\מ,230434,24.9, גרמניה NIPPES SOLINGEN, קוסמטיקה/טיפוח ציפורניים/פצירות,13/02/2021,6,female,38,1,10
 CLINIQUE TAKE THE DAY OFF BALM מסיר איפור פנים בגרסת באלם,285825,111.2, CLINIQUE, קוסמטיקה/טיפוח מותגי קוסמטיקה/ניקוי פנים,13/02/2021,6,female,38,1,4
 אוון קרם ידיים קרם משקם היפואלרגני,498817,79.9, אוון, טיפוח/דרמוקוסמטיקה,13/02/2021,6,female,38,1,2
 KIEHLS ULTRA FACIAL קרם לחות לפנים,607290,269, KIEHLS, קוסמטיקה/טיפוח מותגי קוסמטיקה/קרמים/קרם לחות/ליום,13/02/2021,6,female,38,1,3
 Nesti Dante סבון טבעי קולגן גינסנג ואזליה כחולה, mp-00023843,23.9, Nesti Dante, טיפוח/אמבט וניקוי גוף/סבון מוצק,13/02/2021,6,female,38,1,2
 SHISEIDO FUTURE SOLOTION LX קרם עיניים,565176,744, SHISEIDO, קוסמטיקה/טיפוח מותגי קוסמטיקה/קרמים/קרם לילה,13/02/2021,6,female,38,1,3
 גרמניה NIPPES SOLINGEN צבתית לעור 10 ס\מ להב קצר,230476,99.2, גרמניה NIPPES SOLINGEN, קוסמטיקה/טיפוח ציפורניים,30/09/2020,6,female,38,1,1
 MAC עפרון עיניים עמיד ללא חידוד,589441,79, MAC, קוסמטיקה/איפור עיניים/עפרון עיניים,30/09/2020,6,female,38,1,10
 GLAMGLOW SUPERMUD מסכה לטיפול מטהר,576438,239.2, GLAMGLOW, קוסמטיקה/טיפוח מותגי קוסמטיקה/מסכות פנים וגוף,30/09/2020,6,female,38,1,5
 GA-DE TOP COAT לק גל,464577,23.2, GA-DE, קוסמטיקה/טיפוח ציפורניים/מחזק ציפורניים,30/09/2020,6,female,38,1,5
 KIEHLS סט קרם עיניים טיפולי + מי פנים + סרום לילה + קרם פנים + קרם לחות,639017,199, KIEHLS, קוסמטיקה/טיפוח מותגי קוסמטיקה/קרמים/קרם עיניים,30/09/2020,6,female,38,1,8
